ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000858.SZ,20230103,181.0,181.81,176.51,178.2,180.69,-2.49,-1.3781,182062.04,3240728.572
000858.SZ,20230104,178.0,180.5,176.3,178.62,178.2,0.42,0.2357,128835.84,2299619.966
000858.SZ,20230105,181.5,189.51,180.4,189.0,178.62,10.38,5.8112,402790.56,7535626.606
000858.SZ,20230106,191.11,191.11,187.78,190.46,189.0,1.46,0.7725,233382.95,4428033.739
000858.SZ,20230109,192.45,196.89,190.16,195.88,190.46,5.42,2.8457,275573.14,5362756.421
000858.SZ,20230110,195.8,196.71,194.61,195.24,195.88,-0.64,-0.3267,202752.36,3965377.701
000858.SZ,20230111,195.04,195.99,192.6,194.1,195.24,-1.14,-0.5839,169994.58,3304975.11
000858.SZ,20230112,195.0,195.77,192.01,193.39,194.1,-0.71,-0.3658,138226.99,2675310.869
000858.SZ,20230113,193.39,199.41,193.34,198.58,193.39,5.19,2.6837,245064.46,4833945.958
000858.SZ,20230116,200.0,209.27,200.0,206.52,198.58,7.94,3.9984,363524.79,7493040.737
000858.SZ,20230117,207.0,207.78,201.61,202.86,206.52,-3.66,-1.7722,215078.9,4383014.177
000858.SZ,20230118,204.93,211.79,204.32,205.8,202.86,2.94,1.4493,272412.17,5639270.862
000858.SZ,20230119,206.45,206.5,202.35,205.3,205.8,-0.5,-0.243,181198.92,3710296.048
000858.SZ,20230120,207.89,212.0,207.1,208.72,205.3,3.42,1.6659,273480.25,5738958.67
000858.SZ,20230130,218.59,219.89,214.28,217.6,208.72,8.88,4.2545,321808.76,7001555.735
000858.SZ,20230131,216.99,217.77,208.9,209.0,217.6,-8.6,-3.9522,257247.08,5456751.654
000858.SZ,20230201,208.5,210.6,203.76,210.06,209.0,1.06,0.5072,256552.23,5334911.717
000858.SZ,20230202,211.69,214.5,210.15,212.51,210.06,2.45,1.1663,183271.61,3899833.436
000858.SZ,20230203,210.0,212.0,206.0,210.0,212.51,-2.51,-1.1811,199352.09,4156921.814
000858.SZ,20230206,199.53,204.53,197.28,201.7,210.0,-8.3,-3.9524,334075.44,6710340.318
000858.SZ,20230207,201.7,205.3,201.5,203.17,201.7,1.47,0.7288,158115.88,3216023.678
000858.SZ,20230208,203.17,204.0,198.22,199.55,203.17,-3.62,-1.7818,169057.33,3384827.004
000858.SZ,20230209,199.66,207.74,199.55,207.39,199.55,7.84,3.9288,244939.92,5026717.804
000858.SZ,20230210,207.39,207.48,203.12,204.7,207.39,-2.69,-1.2971,140321.29,2872338.309
000858.SZ,20230213,203.0,214.9,202.99,212.4,204.7,7.7,3.7616,289087.83,6110099.289
000858.SZ,20230214,212.4,213.75,208.6,209.24,212.4,-3.16,-1.4878,184901.9,3886700.986
000858.SZ,20230215,211.59,213.89,209.5,211.0,209.24,1.76,0.8411,169257.91,3584495.859
000858.SZ,20230216,209.35,214.68,207.8,210.79,211.0,-0.21,-0.0995,213379.6,4522470.62
000858.SZ,20230217,209.45,214.45,208.0,208.15,210.79,-2.64,-1.2524,184467.76,3901124.993
000858.SZ,20230220,208.2,213.8,205.5,212.95,208.15,4.8,2.306,191667.54,4024080.432
000858.SZ,20230221,212.5,212.62,208.5,210.08,212.95,-2.87,-1.3477,139395.73,2922693.859
000858.SZ,20230222,208.45,210.54,206.5,207.5,210.08,-2.58,-1.2281,141005.45,2931801.636
000858.SZ,20230223,206.5,208.22,203.7,205.1,207.5,-2.4,-1.1566,145808.01,2993988.118
000858.SZ,20230224,205.07,205.07,199.82,201.1,205.1,-4.0,-1.9503,203957.18,4104764.614
000858.SZ,20230227,199.06,206.23,198.84,204.81,201.1,3.71,1.8449,172995.57,3517673.755
000858.SZ,20230228,207.0,208.06,202.08,204.42,204.81,-0.39,-0.1904,114801.42,2342737.529
000858.SZ,20230301,204.17,208.85,202.9,207.38,204.42,2.96,1.448,154465.75,3196937.763
000858.SZ,20230302,206.1,207.61,205.36,206.24,207.38,-1.14,-0.5497,74476.71,1537653.714
000858.SZ,20230303,208.0,209.46,203.5,205.76,206.24,-0.48,-0.2327,92836.68,1912804.916
000858.SZ,20230306,205.01,206.5,202.58,204.58,205.76,-1.18,-0.5735,111402.26,2277420.061
000858.SZ,20230307,204.35,204.35,200.11,200.45,204.58,-4.13,-2.0188,125272.07,2532351.683
000858.SZ,20230308,199.0,201.5,198.0,199.3,200.45,-1.15,-0.5737,102191.3,2035672.77
000858.SZ,20230309,199.0,199.7,193.9,198.0,199.3,-1.3,-0.6523,168504.86,3323035.487
000858.SZ,20230310,196.21,199.58,195.17,195.24,198.0,-2.76,-1.3939,110956.57,2181297.329
000858.SZ,20230313,195.0,200.28,195.0,198.6,195.24,3.36,1.721,126472.23,2510450.83
000858.SZ,20230314,198.7,198.72,193.7,195.28,198.6,-3.32,-1.6717,102842.59,2013558.949
000858.SZ,20230315,198.0,199.33,192.3,192.32,195.28,-2.96,-1.5158,129880.09,2527648.821
000858.SZ,20230316,191.0,194.2,189.33,191.2,192.32,-1.12,-0.5824,120543.71,2309099.79
000858.SZ,20230317,193.85,194.24,188.0,188.5,191.2,-2.7,-1.4121,156070.45,2970579.105
000858.SZ,20230320,190.0,190.59,185.0,185.9,188.5,-2.6,-1.3793,154642.64,2889012.995
000858.SZ,20230321,187.4,193.11,185.22,192.24,185.9,6.34,3.4104,187892.8,3583069.187
000858.SZ,20230322,192.25,196.08,191.42,191.77,192.24,-0.47,-0.2445,108532.12,2097093.753
000858.SZ,20230323,190.9,195.99,190.06,194.58,191.77,2.81,1.4653,132842.14,2578838.699
000858.SZ,20230324,194.0,195.95,191.5,193.02,194.58,-1.56,-0.8017,102530.22,1984030.938
000858.SZ,20230327,192.81,192.84,189.0,190.41,193.02,-2.61,-1.3522,118798.52,2258153.855
000858.SZ,20230328,190.39,193.91,190.21,192.5,190.41,2.09,1.0976,109186.09,2099319.286
000858.SZ,20230329,194.0,196.0,191.6,195.28,192.5,2.78,1.4442,159539.32,3103306.614
000858.SZ,20230330,195.28,198.96,194.18,198.39,195.28,3.11,1.5926,151486.89,2983220.918
000858.SZ,20230331,201.0,202.0,197.0,197.0,198.39,-1.39,-0.7006,127589.87,2541477.089
000858.SZ,20230403,196.98,197.0,193.08,195.19,197.0,-1.81,-0.9188,133660.24,2604697.434
000858.SZ,20230404,195.5,196.66,192.95,196.15,195.19,0.96,0.4918,142473.4,2772976.031
000858.SZ,20230406,195.0,195.0,189.07,190.54,196.15,-5.61,-2.8601,151074.92,2889971.045
000858.SZ,20230407,189.8,191.83,187.54,189.06,190.54,-1.48,-0.7767,113038.17,2139054.072
000858.SZ,20230410,185.0,185.02,178.2,184.65,189.06,-4.41,-2.3326,339732.09,6169351.676
000858.SZ,20230411,183.97,184.15,180.01,180.53,184.65,-4.12,-2.2312,191194.46,3472021.583
000858.SZ,20230412,181.0,181.11,175.55,175.82,180.53,-4.71,-2.609,272833.91,4827573.322
000858.SZ,20230413,176.0,179.9,175.55,177.88,175.82,2.06,1.1717,210802.14,3748131.434
000858.SZ,20230414,178.22,178.5,175.03,175.59,177.88,-2.29,-1.2874,144653.08,2549260.307
000858.SZ,20230417,176.79,179.92,176.49,178.18,175.59,2.59,1.475,185552.89,3301205.327
000858.SZ,20230418,179.0,180.17,177.58,178.32,178.18,0.14,0.0786,144066.96,2574306.113
000858.SZ,20230419,178.67,178.96,175.5,176.29,178.32,-2.03,-1.1384,126172.46,2225609.751
000858.SZ,20230420,176.34,176.98,172.5,173.5,176.29,-2.79,-1.5826,148008.56,2578285.584
000858.SZ,20230421,174.0,175.3,171.8,172.0,173.5,-1.5,-0.8646,120919.51,2096658.342
000858.SZ,20230424,172.1,172.9,167.5,168.0,172.0,-4.0,-2.3256,176090.69,2970098.989
000858.SZ,20230425,168.0,169.88,165.65,169.8,168.0,1.8,1.0714,154897.26,2602607.466
000858.SZ,20230426,169.1,171.18,167.58,168.61,169.8,-1.19,-0.7008,148126.82,2500348.755
000858.SZ,20230427,168.6,170.3,166.4,169.17,168.61,0.56,0.3321,150393.14,2530897.181
000858.SZ,20230428,171.26,171.95,167.88,169.0,169.17,-0.17,-0.1005,179385.64,3038219.04
000858.SZ,20230504,172.5,172.95,167.45,168.95,169.0,-0.05,-0.0296,265877.93,4516684.022
000858.SZ,20230505,168.95,174.1,168.25,173.71,168.95,4.76,2.8174,251726.9,4324694.285
000858.SZ,20230508,174.5,175.5,170.79,171.4,173.71,-2.31,-1.3298,177533.73,3055844.963
000858.SZ,20230509,170.83,177.5,170.0,174.77,171.4,3.37,1.9662,222923.12,3891367.974
000858.SZ,20230510,172.8,174.5,171.59,173.32,174.77,-1.45,-0.8297,118909.94,2057577.183
000858.SZ,20230511,173.98,176.49,172.21,172.57,173.32,-0.75,-0.4327,122896.31,2138045.981
000858.SZ,20230512,172.2,174.5,169.36,169.37,172.57,-3.2,-1.8543,129591.57,2218100.021
000858.SZ,20230515,168.25,172.49,168.03,172.44,169.37,3.07,1.8126,130799.86,2232478.635
000858.SZ,20230516,172.3,172.36,169.8,170.49,172.44,-1.95,-1.1308,99364.68,1694257.812
000858.SZ,20230517,170.0,170.9,168.75,169.34,170.49,-1.15,-0.6745,86021.5,1458848.098
000858.SZ,20230518,169.49,170.71,168.0,168.66,169.34,-0.68,-0.4016,87803.86,1484050.324
000858.SZ,20230519,168.09,171.26,166.75,170.8,168.66,2.14,1.2688,120745.86,2048104.075
000858.SZ,20230522,170.89,179.06,169.08,177.61,170.8,6.81,3.9871,302445.22,5326580.958
000858.SZ,20230523,177.8,178.5,174.0,174.0,177.61,-3.61,-2.0325,136724.31,2402618.291
000858.SZ,20230524,173.52,173.98,170.35,170.35,174.0,-3.65,-2.0977,133550.66,2297763.605
000858.SZ,20230525,169.42,169.68,167.45,168.2,170.35,-2.15,-1.2621,143925.25,2421836.659
000858.SZ,20230526,168.2,171.89,168.0,170.1,168.2,1.9,1.1296,122874.8,2088300.565
000858.SZ,20230529,170.94,171.85,167.58,168.26,170.1,-1.84,-1.0817,129768.8,2191774.954
000858.SZ,20230530,168.0,169.45,163.5,165.17,168.26,-3.09,-1.8364,183603.34,3039522.846
000858.SZ,20230531,165.0,165.13,160.02,161.18,165.17,-3.99,-2.4157,213448.41,3448000.885
000858.SZ,20230601,162.49,166.6,161.2,163.32,161.18,2.14,1.3277,169016.44,2774057.591
000858.SZ,20230602,165.0,168.4,163.33,167.9,163.32,4.58,2.8043,192083.97,3199284.099
